topic,unified_time_s,time_source,frame_id,format,data_length_bytes
/zed2i/zed_node/left/image_rect_color/compressed,1752754304.9612758,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165624
/zed2i/zed_node/right/image_rect_color/compressed,1752754304.9612758,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166175
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.0279748,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165772
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.0279748,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166011
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.0945668,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165770
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.0945668,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165843
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.1613488,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165582
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.1613488,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165876
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.228087,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165572
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.228087,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165912
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.2947588,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165627
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.2947588,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166130
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.36125,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165376
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.36125,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166049
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.4280999,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165227
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.4280999,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166023
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.4947479,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165477
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.4947479,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165802
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.561251,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165639
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.561251,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166018
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.6279888,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165567
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.6279888,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165997
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.694731,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165709
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.694731,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166074
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.7614799,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165495
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.7614799,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165966
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.8281488,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165572
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.8281488,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166005
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.894634,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165770
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.894634,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166070
/zed2i/zed_node/left/image_rect_color/compressed,1752754305.961509,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165456
/zed2i/zed_node/right/image_rect_color/compressed,1752754305.961509,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166053
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.028121,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165674
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.028121,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165777
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.09461,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165900
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.09461,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165993
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.161666,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165509
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.161666,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165964
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.228139,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165607
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.228139,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165984
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.294648,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165656
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.294648,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166040
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.361527,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165599
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.361527,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166091
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.428201,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165740
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.428201,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166144
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.4946659,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165604
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.4946659,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166082
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.5616028,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165796
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.5616028,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166030
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.6281888,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165584
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.6281888,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166011
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.694872,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165400
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.694872,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165896
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.7615209,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165429
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.7615209,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166011
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.8281589,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165332
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.8281589,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166298
